Date,Open,High,Low,Close,Adj Close,Volume
2020-04-23,27.910000,29.059999,27.809999,28.270000,27.706800,49900
2020-04-24,28.360001,28.809999,27.430000,28.590000,28.020424,29600
2020-04-27,29.040001,31.160000,29.020000,30.580000,29.970779,70400
2020-04-28,32.360001,32.740002,31.150000,32.020000,31.382092,58200
2020-04-29,33.490002,36.070000,32.770000,35.330002,34.626148,93500
2020-04-30,35.000000,35.029999,32.750000,32.750000,32.097549,70600
2020-05-01,32.660000,32.880001,31.709999,32.619999,31.970137,66400
2020-05-04,32.049999,32.230000,30.959999,31.809999,31.176275,48200
2020-05-05,32.049999,32.450001,30.400000,30.530001,29.921776,40700
2020-05-06,30.629999,30.780001,29.459999,29.709999,29.118111,61100
2020-05-07,30.200001,30.850000,29.850000,30.070000,29.470940,47600
2020-05-08,30.450001,31.459999,30.010000,31.350000,30.725439,37100
2020-05-11,30.700001,30.730000,29.340000,29.709999,29.118111,65500
2020-05-12,29.850000,29.850000,28.100000,28.129999,27.569588,52400
2020-05-13,28.010000,28.070000,26.650000,27.440001,26.893335,61800
2020-05-14,27.129999,27.719999,25.740000,27.580000,27.030544,124900
2020-05-15,27.530001,28.410000,26.990000,27.990000,27.432377,45000
2020-05-18,28.969999,30.750000,28.969999,30.450001,29.843369,85500
2020-05-19,30.350000,30.350000,28.650000,28.650000,28.079229,56200
2020-05-20,29.120001,31.280001,29.120001,30.969999,30.353008,49200
2020-05-21,30.910000,31.280001,30.760000,30.900000,30.284403,46400
2020-05-22,31.160000,32.209999,30.200001,31.030001,30.411814,52900
2020-05-26,32.430000,33.290001,32.340000,32.980000,32.322964,61700
2020-05-27,34.320000,36.160000,33.840000,35.790001,35.076988,63200
2020-05-28,36.430000,36.610001,34.779999,34.810001,34.116508,100400
2020-05-29,34.360001,35.939999,32.830002,33.540001,32.871811,55800
2020-06-01,33.730000,34.169998,32.490002,32.490002,31.842730,68400
2020-06-02,32.930000,33.310001,31.969999,32.349998,31.705517,41400
2020-06-03,33.020000,35.180000,32.889999,34.389999,33.704876,45000
2020-06-04,33.830002,35.070000,33.689999,34.770000,34.077305,35300
2020-06-05,36.369999,37.790001,35.980000,37.509998,36.762714,60400
2020-06-08,38.000000,38.529999,37.500000,38.419998,37.654587,47200
2020-06-09,37.700001,38.299999,36.619999,37.619999,36.870525,42400
2020-06-10,37.360001,37.360001,35.590000,35.590000,34.880970,45200
2020-06-11,33.520000,34.299999,32.360001,32.529999,31.881929,64700
